branch_code,สาขา,ที่อยู่,จังหวัด,ภูมิภาค,postcode,ผอ.สาขา,เคาน์เตอร์ขาย,แคชเชียร์โครงสร้าง,โทรศัพท์,เวลาบริการ,line,facebook,เส้นทาง (Google Maps),latitude,longitude,ทำเลเป็นแบบไหน,อยู่บนเส้นถนนแบบไหน,รอบๆมักเป็นอะไร,สถานที่ใกล้เคียง
GH-123,สาขาประจวบคีรีขันธ์,1/2 ถนน เพชรเกษม ตำบล/แขวง ประจวบคีรีขันธ์ อำเภอ/เขต เมืองประจวบคีรีขันธ์ จังหวัดประจวบคีรีขันธ์ 77000,ประจวบคีรีขันธ์,Western,77000,0931374647,0931395347,0931393847,1160,08:00 น. - 19:00 น.,https://lin.ee/klQAPiQ,https://bit.ly/2wkQBNU,"https://maps.google.com/?q=11.820999,99.781905",11.820999,99.781905,ย่านพาณิชย์/ใกล้ห้าง / ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้สถานศึกษา / ใกล้ปั๊มน้ำมัน,ถนน เพชรเกษม (ถนน),"สถานีตำรวจ(2), โรงเรียน(2), ตู้ ATM(2), ปั๊มน้ำมัน(1), ร้านของตกแต่งบ้าน(1), ซูเปอร์มาร์เก็ต(1), ธนาคาร(1)","หน่วยบริการประชาชนตำรวจทางหลวงจังหวัดประจวบคีรีขันธ์, โรงเรียนเทศบาลบ้านค่าย, PTT Station ปตท.ประจวบฯ ขาล่องใต้ (น้ำมัน+EV) (บจก.ประจวบคีรีขันธ์ปิโตรเลียม), โกลบอลเฮ้าส์ ประจวบคีรีขันธ์, แม็คโคร ประจวบคีรีขันธ์, ตู้เอทีเอ็ม ธนาคารกสิกรไทย, ATM กสิกรไทย ปตท.บจก.ประจวบคีรีขันธ์ปิโตรเลียม, 7-Eleven สาขา PTTOR ประจวบคีรีขันธ์ (04538), Helens de Fleur, ATM K- Bank"
GH-124,สาขาลำปาง,518 หมู่ 11 ตำบลปงแสนทอง อำเภอเมืองลำปาง จังหวัดลำปาง 52100,ลำปาง,Northern,52100,092-2471322,092-2477522,092-2477622,1160,08:00 น. - 19:00 น.,https://lin.ee/fw3goEb,https://bit.ly/2Uy3Se6,"https://maps.google.com/?q=18.280142,99.450768",18.280142,99.450768,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้ที่พัก/โรงแรม,ไม่พบข้อมูล,"คาเฟ่(3), อู่ซ่อมรถ(2), ที่พัก/โรงแรม(2), ตู้ ATM(2), ร้านของตกแต่งบ้าน(1), ร้านอาหาร(1)","โกลบอลเฮ้าส์ สาขาลำปาง, สถานตรวจรถเอกชน (ตรอ.) เขมินท์, บี ซี เพลส, La Mayon coffee สาขาลำปาง, ATM กรุงไทย ยืนยันตัวตน (EDC) บมจ.สยามโกลบอลเฮ้าส์ (ลำปาง), Bee's Coffee @Global house Lampang, ATM ธนาคารไทยพาณิชย์ : บ.สยามโกลบอลเฮ้าส์ (ลำปาง), ติดตั้งแอร์, Nice and Cozy place in Chiang Mai Town, หนึ่งโมดิฟาย@ซาวด์"
GH-125,สาขาแพร่,158 หมู่ที่ 2 ตำบลร่องกาศ อำเภอสูงเม่น จังหวัดแพร่ 54130,แพร่,Northern,54130,092-2471321,092-2477521,092-2477621,1160,08:00 น. - 19:00 น.,https://lin.ee/CjwmUW7,https://bit.ly/FB-GBH-PR,"https://maps.google.com/?q=18.107700,100.136969",18.107700,100.136969,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้ที่พัก/โรงแรม,ถนน ยันตรกิจโกศล (ถนน),"ร้านของตกแต่งบ้าน(2), ตู้ ATM(2), ร้านอาหาร(2), ที่พัก/โรงแรม(1), อู่ซ่อมรถ(1), คาเฟ่(1), สถานีตำรวจ(1)","คลินิกเวชกรรมนายแพทย์วิชิน, The Northern View Hotel, ภาณุวัฒน์เฟอร์นิเจอร์, หจก.สยามคาร์เซอร์วิส 2004 ร้านขายอุปกรณ์แต่งรถแม็กยาง, สถานีอนามัยตำบลร่องกาศ, ATM Bank for Agriculture and Agricultural Cooperatives, ร้านอาหารคำสมร, สวนอาหารบ้านฝ้าย, LaMayon coffee สาขาแพร่, สถานีตำรวจชุมชนร่องกาศ"
GH-126,สาขาน่าน,288 หมู่ 11 ตำบลไชยสถาน อำเภอเมืองน่าน จังหวัดน่าน 55000,น่าน,Northern,55000,092-2471323,092-2477523,092-2477623,1160,07:30 น. - 19:00 น.,https://lin.ee/vDAINy3,https://bit.ly/FB-GBH-NA,"https://maps.google.com/?q=18.792032,100.733173",18.792032,100.733173,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้ที่พัก/โรงแรม,ไม่พบข้อมูล,"ที่พัก/โรงแรม(1), ร้านของตกแต่งบ้าน(1), ตู้ ATM(1), ร้านอาหาร(1)","บ้านสวนลีลาวดีรีสอร์ท น่าน, โกลบอลเฮ้าส์ น่าน, สำนักงานจัดหางานจังหวัดน่าน, ATM ธนาคารทหารไทย, องค์การบริหารส่วนจังหวัดน่าน, ร้านครัวมันวาว"
GH-127,สาขาเชียงราย,296 หมู่ที่ 1 ตำบลท่าสาย อำเภอเมืองเชียงราย จังหวัดเชียงราย  57000,เชียงราย,Northern,57000,0621975343,0621985943,0614212143,1160,07:30 น. - 20:00 น.,https://lin.ee/bFGqk9M,https://bit.ly/3bihalG,"https://maps.google.com/?q=19.869528,99.836468",19.869528,99.836468,ย่านพาณิชย์/ใกล้ห้าง / ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้โรงพยาบาล,ไม่พบข้อมูล,"ร้านของตกแต่งบ้าน(3), อู่ซ่อมรถ(2), ร้านอาหาร(1), ร้านอิเล็กทรอนิกส์(1), ร้านฮาร์ดแวร์(1), ตู้ ATM(1), โรงพยาบาล(1)","คูโบต้าจุงชัย เชียงราย, โกลบอลเฮ้าส์ เชียงราย, ท็อป เชียงราย บาดาล, สยามนาโน ออนไลน์ ช็อปปิ้ง, โฮมโปร & เมกาโฮม เชียงราย, ไทวัสดุ เชียงราย, บริษัท ไทยสมุทรประกันชีวิต จำกัด สาขา เชียงราย, ATM กสิกรไทย ตลาดโชคเจริญ เชียงราย, Dr.car by ต้นส้มออโต้เซอร์วิส, โรงพยาบาลเกษมราษฎร์ ศรีบุรินทร์"
GH-128,สาขาสุโขทัย,เลขที่ 88 หมู่ที่ 6 ตำบล/แขวง บ้านกล้วย อำเภอ/เขต เมืองสุโขทัย จังหวัด สุโขทัย 64000,สุโขทัย,Northern,64000,092-2471324,092-2477524,092-2477624,1160,08:00 น. - 19:00 น.,https://lin.ee/wn4NaxF,https://bit.ly/33zQUR4,"https://maps.google.com/?q=17.0106224,99.7691745",17.0106224,99.7691745,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้สถานศึกษา / ใกล้ที่พัก/โรงแรม,ไม่พบข้อมูล,"ธนาคาร(3), ร้านของตกแต่งบ้าน(2), ที่พัก/โรงแรม(1), ตู้ ATM(1), เบเกอรี่(1), ร้านอาหาร(1), โรงเรียน(1)","ชวนชม รีสอร์ท, โกลบอลเฮ้าส์ สุโขทัย, เพทายผ้าม่าน, ธ.ก.ส.สาขาบ้านกล้วย, ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร สาขาบ้านกล้วย, KT OPTIC ร้านแว่นตา ศูนย์เลนส์โปรเกรสซีฟ สาขา บิ๊กซี สุโขทัย (Optical shop Progressive Lens Center), Siam Commercial Bank Cash Deposit Machine (CDM), ATM กสิกรไทย บิ๊กซี สุโขทัย, ร้านมิสเตอร์ โดนัท, เค เอฟ ซี"
GH-129,สาขาอุบลราชธานี,90 หมู่ที่ 2 ตำบลโนนผึ้ง อำเภอวารินชำราบ จังหวัดอุบลราชธานี 34190,อุบลราชธานี,Esan,34190,092-2471327,092-2477527,092-2477627,1160,07:30 น. - 19:00 น.,https://lin.ee/2wHDMiH,https://bit.ly/2QCiVCb,"https://maps.google.com/?q=15.181644,104.8229013",15.181644,104.8229013,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด,ไม่พบข้อมูล,"ร้านของตกแต่งบ้าน(1), ร้านอิเล็กทรอนิกส์(1), ร้านเสื้อผ้า(1), ตู้ ATM(1), คาเฟ่(1), วัด/ศาสนสถาน(1), ร้านอาหาร(1)","โกลบอลเฮ้าส์ อุบลราชธานี, กล้องวงจรปิด อุบลราชธานี, ดีมิกซ์คอนกรีต (สาขา วารินชำราบ), ขวัญเมืองเสื้อพิมพ์ลายท้องถิ่นและธรรมชาติ, มุกดาทรัพทย์, ATM กรุงไทย ยืนยันตัวตน (EDC) บมจ.สยามโกลบอลเฮ้าส์ (อุบลราชธานี), La Mayon coffee สาขาอุบลราชธานี, วัดเหรียญทอง, หมูปลาร้า BM, โครงการ At Rianthong (แอดเหรียญทอง)"
GH-130,สาขากำแพงเพชร,11 หมู่ที่ 10 ตำบลนครชุม อำเภอเมืองกำแพงเพชร จังหวัดกำแพงเพชร 62000,กำแพงเพชร,Northern,62000,092-2471326,092-2477526,092-2477626,1160,07:30 น. - 19:00 น.,https://lin.ee/63kUjUj,https://bit.ly/2WBoggO,"https://maps.google.com/?q=16.489686,99.481630",16.489686,99.481630,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้สถานศึกษา / ใกล้โรงพยาบาล / ใกล้ปั๊มน้ำมัน / ใกล้ที่พัก/โรงแรม,ทางหลวงสายเอเชียหมายเลข 1 (ทางหลวงแผ่นดิน),"ร้านอาหาร(2), อู่ซ่อมรถ(2), ร้านของตกแต่งบ้าน(1), ปั๊มน้ำมัน(1), โรงเรียน(1), ที่พัก/โรงแรม(1), โรงพยาบาล(1)","โกลบอลเฮ้าส์ กำแพงเพชร, ปตท.สุทธิศักดิ์บริการ, บจก. กำแพงเพชร อบพืชและไซโล, 7-Eleven สาขา PTTOR นครชุม (กำแพงเพชร) (08458), โรงเรียนบ้านโนนม่วง, โรงกลึง ช.บูรพากลการ๕, ร้านเจริญรส ข้าวแกง บ้านโคนใต้, อู่ช่างแมนซ่อมมอเตอร์ไซส์, สรวิชญ์, ปะยาง ยาง% mag"
GH-131,สาขาเพชรบูรณ์,"333 หมู่ที่ 12, ตำบลนางั่ว, อำเภอเมืองเพชรบูรณ์ เพชรบูรณ์ 67000",เพชรบูรณ์,Northern,67000,092-2471333,092-2477533,092-2477633,1160,08:00 น. - 19:00 น.,https://lin.ee/vMQjFuE,https://bit.ly/3bdTb75,"https://maps.google.com/?q=16.4730243,101.1572727",16.4730243,101.1572727,ย่านพาณิชย์/ใกล้ห้าง / ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้ปั๊มน้ำมัน / ใกล้ที่พัก/โรงแรม,ถนน สามัคคีชัย (ถนน),"ที่พัก/โรงแรม(4), ร้านอาหาร(3), ซูเปอร์มาร์เก็ต(3), ปั๊มน้ำมัน(1), ร้านของตกแต่งบ้าน(1), คาเฟ่(1)","ไม้งามรีสอร์ท เพชรบูรณ์, ขนมจีนโบราณบ้านคุณตา, ปั๊มแก๊สรถยนต์แอลพีจี สยามแก๊ส LPG, โกลบอลเฮ้าส์ เพชรบูรณ์, การิตาเพลส, WONGMEEMA 3, โฮมแลนด์ รีสอร์ท, ร้านA&Dเบเกอร์รี่, Lom, Sane"
GH-132,สาขาลพบุรี,"41/3 หมู่ที่ 1, นิคมสร้างตนเอง, เมืองลพบุรี, ลพบุรี 15000",ลพบุรี,Central,15000,092-2471329,092-2477529,092-2477629,1160,08:00 น. - 19:00 น.,https://lin.ee/lOYKDOe,https://bit.ly/2J4K0K3,"https://maps.google.com/?q=14.762903,100.7142264",14.762903,100.7142264,ย่านค้าวัสดุ/ตกแต่งบ้าน / ใกล้สถานศึกษา / ใกล้โรงพยาบาล / ใกล้ปั๊มน้ำมัน / ใกล้ที่พัก/โรงแรม,ไม่พบข้อมูล,"โรงเรียน(2), ตู้ ATM(2), ร้านของตกแต่งบ้าน(1), ที่พัก/โรงแรม(1), โรงพยาบาล(1), คาเฟ่(1), ปั๊มน้ำมัน(1)","โรงเรียนการศึกษาคนตาบอดและคนตาบอดพิการซ้ำซ้อน ลพบุรี, โกลบอลเฮ้าส์ ลพบุรี, เอซีเดลโก้ พีอาร์ออโต้ ลพบุรี (ACDelco PR Auto Lopburi), The Residence Hotel-2, Lopburi, โรงแรมลพบุรีเรสIซิเดนซ์2, ลพบุรีเอ็มอาร์ไอคลินิกเวชกรรม, ร้านกาแฟ RinyaCoffee - รินญาคอฟฟี่, PTT Station ปตท. - จิฟฟี่สาขาลพบุรี-นิคม (น้ำมัน+EV), ATM กสิกรไทย PTT RM ลพบุรี-นิคม, ATM K-Bank, ตู้เอทีเอ็ม ธนาคารกสิกรไทย"
GH-135,สาขาจันทบุรี,83 หมู่ที่ 6 ตำบลเขาวัว อำเภอท่าใหม่ จังหวัดจันทบุรี 22120,จันทบุรี,Eastern,22120,092-2471330,092-2477530,092-2477630,1160,08:00 น. - 19:00 น.,https://lin.ee/9BXpFoO,https://bit.ly/2Ul2Vp2,"https://maps.google.com/?q=12.663209,102.068858",12.663209,102.068858,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้ปั๊มน้ำมัน,ไม่พบข้อมูล,"ร้านของตกแต่งบ้าน(2), คาเฟ่(2), ร้านอาหาร(2), ปั๊มน้ำมัน(1), ตู้ ATM(1), อู่ซ่อมรถ(1)","องค์การบริหารส่วนจังหวัดจันทบุรี​, โกลบอลเฮ้าส์ จันทบุรี, ไทวัสดุ จันทบุรี, ปตท.เขาตานก จันทบุรี, ATM ธนาคารกรุงไทย สาขาโกลบอลเฮ้าส์ (จันทบุรี), ทุเรียน ""ร้านน้องนัท"", วิจาร์ณ แซง, สละลอยแก้ว ตรานายสะละ, PaPa Coffee, ก๋วยเตี๋ยว ปั๊มบางจาก"
GH-136,สาขาตราด,62/26 หมู่ที่ 5 ตำบลวังกระแจะ อำเภอเมืองตราด จังหวัดตราด 23000,ตราด,Eastern,23000,092-2471331,092-2477531,092-2477631,1160,08:00 น. - 19:00 น.,https://lin.ee/xcCq422,https://bit.ly/2WFSVtD,"https://maps.google.com/?q=12.281551,102.488696",12.281551,102.488696,ย่านค้าวัสดุ/ตกแต่งบ้าน / ใกล้ที่พัก/โรงแรม,ไม่พบข้อมูล,"ร้านของตกแต่งบ้าน(3), เบเกอรี่(2), คาเฟ่(2), ที่พัก/โรงแรม(1), อู่ซ่อมรถ(1), ตู้ ATM(1)","ไดนาสตี้ ไทล์ท้อป สาขา ตราด, โกลบอลเฮ้าส์ ตราด, AVADA HOTEL, ห้างหุ้นส่วนจำกัด เอส.อี. การาจ, ติดตั้งแอร์, ขนมถ้วย คุณลุง อร่อย, ATM กรุงไทย ยืนยันตัวตน (EDC) บมจ.สยามโกลบอลเฮ้าส์ (ตราด), LaMayon coffee สาขาตราด, ร้านทำเบาะมอไซค์, avada coffee"
GH-137,สาขาบ้านตาด,"823 หมู่ที่ 4, ตำบลบ้านจั่น, อำเภอเมืองอุดรธานี อุดรธานี 41000",อุดรธานี,Esan,41000,092-2471328,092-2477528,092-2477628,1160,07:30 น. - 19:00 น.,https://lin.ee/aVGLsYz,https://bit.ly/2QBAqTk,"https://maps.google.com/?q=17.341803,102.8313205",17.341803,102.8313205,ย่านพาณิชย์/ใกล้ห้าง / ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้ปั๊มน้ำมัน / ใกล้ที่พัก/โรงแรม,ทางหลวงแผ่นดินหมายเลข 2 (ทางหลวงแผ่นดิน),"ร้านอาหาร(2), คาเฟ่(2), อู่ซ่อมรถ(2), ร้านของตกแต่งบ้าน(1), ธนาคาร(1), ตู้ ATM(1), ปั๊มน้ำมัน(1)","ฟอร์ด ฑีฆเจริญ, โกลบอลเฮ้าส์ อุดรธานี 2 (บ้านตาด), สน.ปตท. บริษัท อุดรสยามปิโตรเลียม จำกัด, 7-Eleven สาขา PTTOR อุดรสยาม (03805), Café Amazon สาขา บจก.อุดรสยามปิโตรเลียม, ATM K-Bank, PTT Station ปตท.บ้านตาด สถานีบริการน้ำมัน NGV และ EV อุดรสยามปิโตรเลียม, UDtel Hotel Udonthani, PN สะดวกซักอบ, หัวหย๋องกาแฟโบราณ"
GH-138,สาขาพะเยา,889 หมู่ที่ 13 ตำบล/แขวง บ้านต๋อม อำเภอ/เขต เมืองพะเยา จังหวัดพะเยา,พะเยา,Northern,56000,0610186069,0610185769,0610211569,1160,08:00 น. - 19:00 น.,https://lin.ee/5p4Yl51,https://www.facebook.com/GlobalHousePY,"https://maps.google.com/?q=19.206575,99.870881",19.206575,99.870881,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้ปั๊มน้ำมัน / ใกล้ที่พัก/โรงแรม,ไม่พบข้อมูล,"ที่พัก/โรงแรม(3), ตู้ ATM(2), ร้านของตกแต่งบ้าน(2), ปั๊มน้ำมัน(1), ร้านอาหาร(1), คาเฟ่(1), อู่ซ่อมรถ(1)","ปตท.พะเยา-เชียงราย, ATM กสิกรไทย ปตท.บจก.ฟูแสงเซอร์วิส 2008 (พะเยา), บ้านชานเมือง Baan chan meuang (Hotel), 7-Eleven สาขา PTTOR พะเยา-เชียงราย (08095), ร้านเฟิร์สกาแฟสด พะเยา, ไดนาสตี้ ไทล์ท้อป สาขา พะเยา, Dynasty Ceramic Public Co., Ltd, เมืองทองเวอร์คชอพ, บ้านอิ่มอุ่น รีสอร์ท, M9 Residence"
GH-139,สาขาบุรีรัมย์,"54 หมู่ 16,กระสัง, เมืองบุรีรัมย์ บุรีรัมย์ 31000",บุรีรัมย์,Esan,31000,092-2471334,092-2477534,092-2477634,1160,07:30 น. - 19:00 น.,https://lin.ee/i4RxVGl,https://bit.ly/2U9IrRp,"https://maps.google.com/?q=14.960638,103.049263",14.960638,103.049263,ย่านค้าวัสดุ/ตกแต่งบ้าน / ใกล้ที่พัก/โรงแรม,ไม่พบข้อมูล,"ร้านของตกแต่งบ้าน(1), อู่ซ่อมรถ(1), ร้านฮาร์ดแวร์(1), ที่พัก/โรงแรม(1), ตู้ ATM(1), คาเฟ่(1), บาร์(1)","โกลบอลเฮ้าส์ บุรีรัมย์, ร้านยาพรพันธุ์เภสัช, บริษัท 9 เอ็นจิเนียร์ จำกัด (ตรวจแก๊ส บุรีรัมย์ - ตรอ. 9 เอ็นจิเนียร์ ), ไทวัสดุ บุรีรัมย์, โฮมสเตย์และลานกางเต้นท์ของมิสเตอร์เขียว, ATM ธนาคารกรุงไทย บมจ.สยามโกลบอลเฮ้าส์ (บุรีรัมย์), La Mayon coffee สาขาบุรีรัมย์, ติดตั้งแอร์, โรงรับจำนำมีทรัพย์ สาขาแยกกระสังเยื้องดูโฮม, L&M บาร์ จุดนัดพบ"
GH-140,สาขาปราณบุรี,1441 หมู่ที่ 2 ตำบลวังก์พง อำเภอปราณบุรี จังหวัดประจวบคีรีขันธ์ 77120,ประจวบคีรีขันธ์,Western,77120,093-3245938,093-3296838,098-2579738,1160,08:00 น. - 19:00 น.,https://lin.ee/kpsNeWJ,https://bit.ly/3abMNgu,"https://maps.google.com/?q=12.401092,99.925442",12.401092,99.925442,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้สถานศึกษา / ใกล้ปั๊มน้ำมัน,ไม่พบข้อมูล,"ตู้ ATM(3), อู่ซ่อมรถ(3), คาเฟ่(2), ร้านของตกแต่งบ้าน(1), ร้านอาหาร(1), โรงเรียน(1), ปั๊มน้ำมัน(1)","ATM ธ.ไทยพาณิชย์ ปั๊ม ESSO ปราณบุรี (บริษัท เพชรเกษมฐิติพร), โกลบอลเฮ้าส์ ปราณบุรี, ร้านอาหาร, โรงเรียนรักษ์วิทยา Rakwittaya School, ปั๊มน้ำมันเชลล์ เขาน้อย, ออโต้ประดับยนต์ ปราณบุรี |เครื่องเสียง|จอเเอนดรอนด์|ฟิล์มรถยนต์ฟิล์มอาคาร|ไฟหน้าLED ศูนย์ติดตั้งมาตรฐานครบวงจร, ตู้เอทีเอ็ม ธนาคารธนชาต, SIRIN PROPERTY, อัญตาคาเฟ่, ร้าน ยนต์สินปราณบุรี"
GH-141,สาขาเทพารักษ์,76/12 หมู่ที่ 3 ตำบลบางพลีใหญ่ อำเภอบางพลี จังหวัดสมุทรปราการ 10540,สมุทรปราการ,BKK&Metro,10540,093-1378055,093-1347155,,1160,07:30 น. - 20:00 น.,https://lin.ee/vTRYZbU,https://bit.ly/FB-GBH-TP,"https://maps.google.com/?q=13.6086698,100.6808303",13.6086698,100.6808303,ย่านชุมชน/ตลาด / ใกล้โรงพยาบาล,ถนน เทพารักษ์ (ถนน),"ร้านอาหาร(1), โรงพยาบาล(1), อู่ซ่อมรถ(1)","Surapon Nichirei Foods Co.,LTD., โรงพยาบาลบางนา​ 5, เอโทล มัลดีฟส์ บีช ศรีนครินทร์-หนามแดง, Toyota Nakornthon (Theparak) - โตโยต้า นครธน (เทพารักษ์), บริษัท เอ็ม-ริช คอร์ปอเรชั่น จำกัด, หมู่ 3"
GH-142,สาขาหนองบัวลำภู,"240 หมู่ที่ 9, หนองบัว, เมืองหนองบัวลำภู, หนองบัวลำภู 39000",หนองบัวลำภู,Esan,39000,092-2471332,092-2477532,092-2477632,1160,08:00 น. - 19:00 น.,https://lin.ee/3WTrXPZ,https://bit.ly/2xfSdbP,"https://maps.google.com/?q=17.183129,102.437559",17.183129,102.437559,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้ปั๊มน้ำมัน,ไม่พบข้อมูล,"ร้านอาหาร(3), ปั๊มน้ำมัน(1), วัด/ศาสนสถาน(1), ร้านของตกแต่งบ้าน(1), ธนาคาร(1), ตู้ ATM(1), คาเฟ่(1)","PTT Station ปตท.หนองบัวลำภู 1 (น้ำมัน+EV) (ห้างหุ้นส่วนจำกัดกิจเจริญปิโตรเลียม), วัดอัครเทวดามีคาแอล หนองบัวลำภู, ห้างหุ้นส่วนจำกัด น้ำดื่มสายฝน2013, โกลบอลเฮ้าส์ หนองบัวลำภู, ATM กสิกรไทย เซเว่นฯ ปตท.หนองบัวลำภู 1, 7-Eleven สาขา PTTOR หนองบัวลำภู (07203), อลิอันซ์ อยุธยา (สนง.ตัวแทนคุณณัฐชา วงศ์พนากร) จังหวัดหนองบัวลำภู, สถานีเดินรถนครชัยแอร์ หนองบัวลำภู, ก๋วยเตี๋ยวดาบนาค บ้านสวนริมพะเนียง, ATM กรุงไทย ยืนยันตัวตน (EDC) บมจ.สยามโกลบอลเฮ้าส์ (หนองบัวลำภู)"
GH-144,สาขาสมุทรสงคราม,99/1 หมู่ 11 ตำบล ลาดใหญ่ อำเภอ เมือง จังหวัด สมุทรสงคราม 75000,สมุทรสงคราม,Western,75000,0980976642,0980978242,0933246942,1160,08:00 น. - 19:00 น.,https://lin.ee/2QJg3NA,https://bit.ly/3af7YOI,"https://maps.google.com/?q=13.436485,100.031462",13.436485,100.031462,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้ปั๊มน้ำมัน,ไม่พบข้อมูล,"คาเฟ่(2), ตู้ ATM(2), อู่ซ่อมรถ(2), ร้านของตกแต่งบ้าน(1), ปั๊มน้ำมัน(1), ร้านอาหาร(1)","โกลบอลเฮ้าส์ สมุทรสงคราม, Coffee & Factory, เอกชัยออยล์, ศาลเยาวชนและครอบครัวจังหวัดสมุทรสงคราม, ATM ธนาคารกรุงไทย, ATM กรุงไทย ยืนยันตัวตน (EDC) บมจ.สยามโกลบอลเฮ้าส์ (สมุทรสงคราม), ช่างตี๋เซอร์วิสเเอร์, บ.บุญเหลือ อะไหล่ครับ, Mayang The café, อู่เอ"
GH-145,สาขาพระนครศรีอยุธยา,50/3 หมู่ที่ 5 ตำบลบ้านกรด อำเภอบางปะอิน จังหวัดพระนครศรีอยุธยา 13160,พระนครศรีอยุธยา,Central,13160,0610197856,0610197956,0610196756,1160,07:30 น. - 20:00 น.,https://lin.ee/hNLfxK,https://bit.ly/FB-GBH-AY,"https://maps.google.com/?q=14.319276008125248,100.6143061813618",14.319276008125248,100.6143061813618,ย่านพาณิชย์/ใกล้ห้าง / ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้ที่พัก/โรงแรม,ไม่พบข้อมูล,"ธนาคาร(3), ร้านของตกแต่งบ้าน(2), ตู้ ATM(2), ที่พัก/โรงแรม(1), โรงภาพยนตร์(1), เบเกอรี่(1), ซูเปอร์มาร์เก็ต(1)","โรงแรม แอท อยุธยา, ATM กสิกรไทย สน.ปตท.สาขาบางปะอิน, แสงทองเฟอร์นิเจอร์คอนเซ็ปต์โฮมแอนด์ออฟฟิต, ราชเทวีคลินิก @อยุธยา, เมเจอร์ ซีนีเพล็กซ์ บิ๊กซี อยุธยา, ATM กสิกรไทย ปั๊มน้ำมันบางจาก สายเอเซีย 2, มิตซูอยุธยา (ไทยธาดา) (สาขาสายเอเซีย), KT OPTIC ร้านแว่นตา ศูนย์เลนส์โปรเกรสซีฟ สาขา บิ๊กซี อยุธยา (Optical shop Progressive Lens Center), ธนาคารกรุงไทย สาขาบิ๊กซี อยุธยา, ร้านมิสเตอร์ โดนัท"
GH-146,สาขานครนายก,86/40 หมู่ที่ 10 ต.พรหมณี อ.เมืองนครนายก จ.นครนายก 26000,นครนายก,Central,26000,092-2471335,081-8211335,081-3724335,1160,08:00 น. - 19:00 น.,https://lin.ee/5GOP5Aw,https://bit.ly/2QDvJbr,"https://maps.google.com/?q=14.219933,101.190183",14.219933,101.190183,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้สถานศึกษา / ใกล้ปั๊มน้ำมัน / ใกล้ที่พัก/โรงแรม,ไม่พบข้อมูล,"ปั๊มน้ำมัน(3), ร้านของตกแต่งบ้าน(2), คาเฟ่(2), ที่พัก/โรงแรม(2), ร้านอาหาร(1), ร้านอิเล็กทรอนิกส์(1), โรงเรียน(1)","ห้างหุ้นส่วนจำกัด ป.เฮงนครนายกบริการ, บริษัท นครนายกอีซูซุเซลส์ จำกัด (สาขาอำเภอเมือง / สำนักงานใหญ่ ), โกลบอลเฮ้าส์ นครนายก, ปตท.นครนายก (น้ำมัน+EV) (ห้างหุ้นส่วนจำกัดต.เฮงนครนายก), คาเฟ่ อเมซอน, 7-Eleven สาขา PTTOR นครนายก (03928), ระเบียงวิว รีสอร์ท นครนายก, สำนักงานประกันสังคมจังหวัดนครนายก, ไดนาสตี้ ไทล์ท้อป สาขา นครนายก, หจก.อ้น อินเตอร์เทค"
